Gene,RelationName,To
RB1,controls-state-change-of,HIST2H4A
RB1,controls-state-change-of,HIST2H4B
RB1,controls-state-change-of,HIST3H2BB
RB1,controls-state-change-of,HIST3H3
RB1,controls-state-change-of,HIST4H4
RB1,controls-expression-of,HMGA1
RB1,controls-state-change-of,HMGA1
RB1,controls-state-change-of,HMGA2
RB1,controls-expression-of,HMGN2
RB1,controls-expression-of,HMGXB4
RB1,controls-expression-of,HNRNPA1
RB1,controls-expression-of,HNRNPD
RB1,controls-expression-of,HNRNPR
RB1,controls-expression-of,HNRNPUL1
RB1,controls-expression-of,HOXC10
RB1,controls-expression-of,HS6ST3
RB1,controls-expression-of,ID3
RB1,controls-expression-of,IL4I1
RB1,controls-expression-of,ILF3
RB1,controls-expression-of,IMPDH2
RB1,controls-expression-of,ING3
RB1,controls-expression-of,IPO7
RB1,controls-expression-of,JADE1
RB1,controls-expression-of,JADE2
RB1,controls-expression-of,KANSL3
RB1,controls-expression-of,KBTBD6
RB1,controls-expression-of,KBTBD7
RB1,controls-expression-of,KCNA6
RB1,controls-expression-of,KCNS2
RB1,controls-expression-of,KIAA0825
RB1,controls-expression-of,KLF4
RB1,controls-expression-of,KMT5A
RB1,controls-expression-of,KPNB1
RB1,controls-expression-of,LHX5
RB1,controls-expression-of,LIG1
RB1,controls-expression-of,LUC7L3
RB1,controls-expression-of,MAD2L1BP
RB1,controls-expression-of,MAPK6
RB1,controls-expression-of,MAPT
RB1,controls-expression-of,MAT2A
RB1,controls-expression-of,MAZ
RB1,controls-expression-of,MCM2
RB1,controls-expression-of,MCM3
RB1,controls-expression-of,MCM4
RB1,controls-expression-of,MCM6
RB1,controls-expression-of,MCM7
RB1,controls-expression-of,MCM8
RB1,controls-expression-of,MCMBP
RB1,controls-expression-of,MDGA1
RB1,controls-state-change-of,MEF2C
RB1,controls-expression-of,MEIS2
RB1,controls-expression-of,MEPCE
RB1,controls-expression-of,MET
RB1,controls-expression-of,MRPL40
RB1,controls-expression-of,MSH2
RB1,controls-expression-of,MSH5
RB1,controls-expression-of,MTF2
RB1,controls-expression-of,MXD3
RB1,controls-expression-of,MYC
RB1,controls-expression-of,MYH10
RB1,controls-expression-of,MYL1
RB1,controls-expression-of,NABP2
RB1,controls-expression-of,NASP
RB1,controls-state-change-of,NCAPD3
RB1,controls-state-change-of,NCAPG2
RB1,controls-state-change-of,NCAPH2
RB1,controls-expression-of,NCL
RB1,controls-expression-of,NECTIN1
RB1,controls-expression-of,NELL2
RB1,controls-expression-of,NFATC2IP
RB1,controls-expression-of,NIPBL
RB1,controls-expression-of,NOLC1
RB1,controls-expression-of,NPR3
RB1,controls-expression-of,NR6A1
RB1,controls-expression-of,NRK
RB1,controls-expression-of,NRP2
RB1,controls-expression-of,NUFIP2
RB1,controls-expression-of,NUP62
RB1,controls-expression-of,OLFML3
RB1,controls-expression-of,ONECUT1
RB1,controls-expression-of,OTUD7B
